component	role	version	verified_on	compatibility_url	release_url
go	runtime-and-toolchain	1.27.0	2026-09-01	https://go.dev/doc/devel/release	https://go.dev/doc/go1.27
postgresql	relational-store	18.6	2026-09-01	https://www.postgresql.org/support/versioning/	https://www.postgresql.org/docs/release/18.6/
pgx	postgresql-driver	5.10.0	2026-09-01	https://github.com/jackc/pgx/blob/v5.10.0/README.md	https://github.com/jackc/pgx/releases/tag/v5.10.0
sqlc	query-code-generator	1.31.1	2026-09-01	https://github.com/sqlc-dev/sqlc/blob/v1.31.1/go.mod	https://github.com/sqlc-dev/sqlc/releases/tag/v1.31.1
goose	migration-runner	3.27.3	2026-09-01	https://github.com/pressly/goose/blob/v3.27.3/go.mod	https://github.com/pressly/goose/releases/tag/v3.27.3
